Team,Games,Wins,Losses,W%,RDif,RS/G,RA/G
Dodgers,162,98,64,.605,171,5.27,4.21
Yankees,162,95,67,.586,146,5.52,4.62
Padres,162,95,67,.584,133,4.95,4.13
Mets,162,92,70,.568,106,4.84,4.19
Braves,162,89,73,.548,80,5.13,4.64
Astros,162,89,73,.547,81,5.34,4.84
Blue Jays,162,88,74,.545,76,5.36,4.89
White Sox,162,87,75,.538,63,5.08,4.69
Twins,162,87,75,.536,61,5.31,4.93
Red Sox,162,85,77,.526,45,5.27,4.99
Angels,162,84,78,.520,34,5.16,4.95
Rays,162,84,78,.517,28,4.78,4.61
Athletics,162,83,79,.512,20,4.87,4.75
Nationals,162,83,79,.510,17,4.96,4.86
Phillies,162,81,81,.501,1,4.90,4.89
Cleveland,162,81,81,.498,-3,4.94,4.96
Brewers,162,79,83,.489,-17,4.54,4.64
Cardinals,162,79,83,.488,-20,4.52,4.64
Cubs,162,78,84,.483,-29,4.82,5.00
Royals,162,77,85,.477,-38,4.80,5.04
Giants,162,77,85,.474,-40,4.40,4.64
Reds,162,77,85,.474,-42,4.68,4.94
Mariners,162,74,88,.457,-69,4.51,4.94
Diamondbacks,162,73,89,.453,-77,4.57,5.04
Marlins,162,73,89,.452,-74,4.26,4.72
Tigers,162,72,90,.444,-94,4.69,5.27
Rangers,162,72,90,.441,-97,4.59,5.19
Rockies,162,67,95,.411,-156,4.78,5.74
Orioles,162,66,96,.410,-154,4.62,5.57
Pirates,162,66,96,.406,-150,4.20,5.12
